id_prueba,sitio,url_web,url_facebook,municipio,estado,pais,tipo_fuente,enlace_valido,categoria_raiz,subcategoria,tipo_especifico,duplicado,pagina_activa,agregado_por,estado_validacion,observaciones
92,Hecho en San Juan del Rio ,NA,https://www.facebook.com/hechoensjr/about,San Juan del Río,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
93,Noticias Ezequiel Montes,N/A,https://www.facebook.com/profile.php?id=100069272275285&sk=about&locale=es_LA,Ezequiel Montes,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
94,El Observador De Querétaro ,https://elobservadordequeretaro.com.mx/,https://www.facebook.com/ElObservadorDeQro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
95,Lorehna Vega ,http://twitter.com/lorehnavega,https://www.facebook.com/Lorehnavega/about,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Conductor de Noticias,No,Sí,Mauricio,Aprobado,ninguna
96,AlMomento Noticias,https://almomento-noticias.com/,https://www.facebook.com/AlMomentoQueretaro/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
97,Alertas Municipio De Querétaro,N/A,https://www.facebook.com/groups/725672975800833/about?locale=es_LA,Querétaro,Querétaro,México,Comunitaria,Sí,Comunidad,Grupos Comunitarios,Comunidad Municipal,No,Sí,Mauricio,Aprobado,ninguna
98,Waldo Maya ,N/A,https://www.facebook.com/WaldoMayaOlguin/about,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Reportero,No,Sí,Mauricio,Aprobado,ninguna
99,Tiempo Santa Rosa Jáuregui,http://www.tiemposrj.com.mx/,https://www.facebook.com/tiemposantarosajauregui/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
100,Meganoticias Querétaro ,http://www.meganoticias.mx/,https://www.facebook.com/meganoticiasqro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Televisión,Canal Estatal,No,Sí,Mauricio,Aprobado,ninguna
101,Bitácora Diario ,http://www.bitacoradiario.com/,https://www.facebook.com/BitacoraDiario/about,Querétaro,Querétaro,México,Medio,Sí,Empresa / Negocio,Medio Privado,Agencia de Noticias,No,Sí,Mauricio,Aprobado,ninguna
102,Noticias Corregidora ,NA,https://www.facebook.com/noticiascorregidora,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
103,Queretaro informado,N/A,https://www.facebook.com/groups/Qro.inf/about,Querétaro,Querétaro,México,Medio,Sí,Comunidad,Grupos Comunitarios,Información Local,No,Sí,Mauricio,Aprobado,ninguna
104,Mala Vida Radio ,https://malavidaqro.com/,https://www.facebook.com/MalaVidaQro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Radio,Radio Noticias,No,Sí,Mauricio,Aprobado,ninguna
105,Periódico en Línea ,N/A,https://www.facebook.com/groups/Qro.inf/about,Querétaro,Querétaro,México,Medio,Sí,Comunidad,Grupos Comunitarios,Información Local,No,Sí,Mauricio,Aprobado,ninguna
106,Desqbre Querétaro Noticias,NA,https://www.facebook.com/informateqro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
107,Secretaría de Seguridad Pública Municipal de Querétaro,https://sspmqueretaro.com/,https://www.facebook.com/sspmqueretaro/about,Querétaro,Querétaro,México,Oficial,Sí,Gobierno,Seguridad Pública,Secretaría de Seguridad Pública,No,Sí,Mauricio,Aprobado,ninguna
108,Pérez Rendón María Martina ,https://seseq.gob.mx/,https://www.facebook.com/MartinaPerezRendon/about,Querétaro,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Secretario,No,Sí,Mauricio,Aprobado,ninguna
109,"Valeria Martínez 
",NA,https://www.facebook.com/profile.php?id=61571731835358&sk=about,Cadereyta de Montes,Querétaro,México,Medio,Sí,Figura Pública,Figura Política,Regidor,No,Sí,Mauricio,Aprobado,ninguna
110,Periódico El Mosquito,http://www.periodicoelmosquito.com/,https://www.facebook.com/periodicoelmosquito/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
111,Querétaro información y noticias ,NA ,https://www.facebook.com/groups/169941606805535/about,Querétaro,Querétaro,México,Medio,Sí,Comunidad,Grupos Comunitarios,Información Local,No,Sí,Mauricio,Aprobado,ninguna
112,Alertas de seguridad San Juan  del rio y Tequisquiapan ,NA,https://www.facebook.com/groups/192977135383769,San Juan del Río,Querétaro,México,Medio,Sí,Comunidad,Grupos Comunitarios,Información Local,No,Sí,Mauricio,Aprobado,ninguna
113,N + 57 ,NA,https://www.facebook.com/profile.php?id=100088606042923&sk=about,Querétaro,Guanajuato,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
114,ADN40Mx,ADN40Mx,https://www.facebook.com/adnnoticiasmx/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
115,Seguridad Publica Corregidora,https://corregidora.gob.mx/portal/,https://corregidora.gob.mx/portal/,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,,,Pendiente,Pendiente,Mauricio,Requiere revisión,Enlace no valido
116,Milenio Televisión,https://www.milenio.com/mileniotv,https://www.facebook.com/mileniotelevision/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Televisión,Noticiero,No,Sí,Mauricio,Aprobado,ninguna
117,CNN en Español,http://cnnespanol.cnn.com/,https://www.facebook.com/CNNee/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
118,Municipio de Corregidora ,http://www.corregidora.gob.mx/,https://www.facebook.com/mpiocorregidora/about,Corregidora,Querétaro,México,Oficial,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
119,NMás,https://www.nmas.com.mx/,https://www.facebook.com/nmas.com.mx/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
120,QueretaroNoticias.com,https://www.queretaronoticias.com/,https://www.facebook.com/profile.php?id=61555462623054&sk=about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
121,Voces Al Aire,N/A,https://www.facebook.com/vocesalaire0411/about,Otro,Ciudad de Mexico,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
122,Diario La Razón,http://www.razon.com.mx/,https://www.facebook.com/larazondemexico/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
123,Protección Civil Pinal de Amoles  ,http://www.pinaldeamoles.gob.mx/,https://www.facebook.com/profile.php?id=100086557633537&sk=about&locale=es_LA,Pinal de Amoles,Querétaro,México,Oficial,Sí,Gobierno,Protección Civil,Protección Civil Municipal,No,Sí,Mauricio,Aprobado,ninguna
124,Seguridad Pública Pinal de Amoles ,https://pinaldeamoles.gob.mx/,https://www.facebook.com/profile.php?id=61570651115626&sk=about&locale=es_LA,Querétaro,Querétaro,México,Oficial,Sí,Gobierno,Seguridad Pública,Secretaría de Seguridad Pública,No,Sí,Mauricio,Aprobado,ninguna
125,Informante Serrano ,NA,https://www.facebook.com/profile.php?id=61565956828332&sk=about&locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
126,Que todo Querétaro Se Entere ,http://www.quetodoqroseentere.com/,https://www.facebook.com/QueretaroEnterado/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
127,Radio Fórmula,https://www.radioformula.com.mx/,www.facebook.com/RadioFormulaMX/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
128,Imagen Radio,http://www.imagenradio.com.mx/,https://www.facebook.com/ImagenRadio/about,Otro,Ciudad de Mexico,México,Medio,Sí,Medio Informativo,Radio,Radio Noticias,No,Sí,Mauricio,Aprobado,ninguna
129,Secretaría de Seguridad y Protección Ciudadana de Colón ,NA,https://www.facebook.com/policiaColon/about?locale=es_LA,Colón,Querétaro,México,Oficial,Sí,Gobierno,Seguridad Pública,Secretaría de Seguridad Pública,No,Sí,Mauricio,Aprobado,ninguna
130,Radio UAQ 89.5 FM,https://estaciones.uaq.mx/public/cu,https://www.facebook.com/RadioUAQ,Querétaro,Querétaro,México,Oficial,Sí,Medio Informativo,Radio,Radio Noticias,No,Sí,Mauricio,Aprobado,ninguna
131,SSPM de Pedro Escobedo ,https://pedroescobedo.gob.mx/,https://www.facebook.com/SSPMPedroEscobedo/about?locale=es_LA,Pedro Escobedo,Querétaro,México,Oficial,Sí,Gobierno,Seguridad Pública,Secretaría de Seguridad Pública,No,Sí,Mauricio,Aprobado,ninguna
132,Imagen Querétaro,http://www.imagenqueretaro.mx/,https://www.facebook.com/imagenqueretaro94.7/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Radio,Radio Noticias,No,Sí,Mauricio,Aprobado,ninguna
133,RR Noticias,https://rrnoticias.mx/,https://www.facebook.com/rrnoticiasqro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
134,Radio Fórmula Querétaro,ttps://www.radioformula.com.mx/queretaro/,https://www.facebook.com/RadioFormulaQueretaro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Radio,Radio Noticias,No,Sí,Mauricio,Aprobado,ninguna
135,Inqro,http://www.inqro.tv/,https://www.facebook.com/inqro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
136,Informe Queretano  (IQ Noticias),http://informequeretano.com/,https://www.facebook.com/informequeretano/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
137,Tequisquiapan Noticias ,NA,https://www.facebook.com/profile.php?id=100077646686796&sk=about&locale=es_LA,Tequisquiapan,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
138,"Querétaro Comunicado
",NA,https://www.facebook.com/profile.php?id=61584274693562,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
139,Radar 107.5 Querétaro,https://www.radarfm.mx/,https://www.facebook.com/RadarQueretaro107.5,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
140,Municipio de Jalpan de Serra ,http://jalpan.gob.mx/,https://www.facebook.com/JalpandeSerraMagico?locale=es_LA,Jalpan de Serra,Querétaro,México,Oficial,Sí,Gobierno,Poder Ejecutivo,Ayuntamiento,No,Sí,Mauricio,Aprobado,ninguna
141,Protección Civil El Marqués ,https://elmarques.gob.mx/proteccion-civil/,https://www.facebook.com/profile.php?id=100067304901267,El Marqués,Querétaro,México,Oficial,Sí,Gobierno,Protección Civil,Protección Civil Municipal,No,Sí,Mauricio,Aprobado,ninguna
142,Noticias de Queret,https://queretanews.com/,https://www.facebook.com/Queretanews?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
143,Sacar los hechos que quiero ,NA,https://www.facebook.com/Tirandofactosqro?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
144,Acceso Querétaro ,NA,https://www.facebook.com/profile.php?id=100076950018997&locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
145,Protección Civil Amealco ,http://amealco.gob.mx/,https://www.facebook.com/profile.php?id=61572115984504,Amealco de Bonfil,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
146,Declaración de Protección Civil de Querétaro ,https://www.proteccioncivilqro.gob.mx/,https://www.facebook.com/pcivilqro,Querétaro,Querétaro,México,Oficial,Sí,Gobierno,Protección Civil,Protección Civil Estatal,No,Sí,Mauricio,Aprobado,ninguna
147,Protección Civil Corregidora ,NA,https://www.facebook.com/profile.php?id=100064653283992,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,,,Pendiente,Pendiente,Mauricio,Requiere revisión,Link repetidos
